"Accidentes de tránsito, hechos, víctimas y lesionados y hechos por zona de ocurrencia.               Localidad de Río Grande. Años 2009-2023",,,,,,,,,,
Año,Mes,Total,Hechos simples,mortal/Hechos,Mortal/Victimas,Hechos c/lesiones,cant.Lesionados,zona Urbana,Zona Rural,Total Alcohol Positivo
2009,,"2,694",2568,5,5,121,163,2622,72,467
2009,ene,157,154,0,0,3,3,149,8,25
2009,feb,178,176,0,0,2,2,166,12,43
2009,mar,267,250,2,2,15,15,259,8,35
2009,abr,217,202,1,1,14,13,209,8,36
2009,may,233,225,0,0,8,10,224,9,43
2009,jun,288,279,0,0,9,11,282,6,56
2009,jul,261,254,0,0,7,15,257,4,41
2009,ago,240,234,1,0,5,10,239,1,24
2009,sep,220,203,1,1,16,22,217,3,39
2009,oct,198,186,0,0,12,16,190,8,29
2009,nov,217,202,0,0,15,24,217,0,47
2009,dic,218,203,0,0,15,22,213,5,49
2010,Total,"3,333",3183,4,9,146,208,3224,109,504
2010,ene,164,156,0,0,8,19,150,14,25
2010,feb,199,193,0,0,6,8,187,12,49
2010,mar,281,267,1,1,13,20,269,12,53
2010,abr,270,254,0,0,16,27,260,10,47
2010,may,265,253,0,0,12,16,260,5,31
2010,jun,307,295,0,0,12,14,298,9,36
2010,jul,336,326,1,1,9,15,329,7,46
2010,ago,254,242,0,0,12,13,246,8,48
2010,sep,307,295,0,0,12,20,304,3,29
2010,oct,283,267,2,6,14,16,275,8,38
2010,nov,351,340,0,0,11,11,343,8,44
2010,dic,316,295,0,0,21,29,303,13,58
2011,Total,"3,983",3783,3,7,197,262,3859,124,519
2011,mar,310,285,1,2,24,48,299,11,29
2011,abr,420,402,0,0,18,21,411,9,37
2011,may,409,387,0,0,22,23,405,4,41
2011,jun,389,371,0,0,18,22,379,10,50
2011,jul,325,312,1,2,12,23,317,8,64
2011,ago,393,378,0,0,15,17,389,4,68
2011,sep,356,337,0,0,19,28,350,6,33
2011,oct,312,294,0,0,18,23,304,8,21
2011,nov,341,321,1,3,19,18,326,15,46
2011,dic,305,290,0,0,15,15,299,6,51
2012,Total,"4,278",4065,5,12,208,295,4208,70,237
2012,ene,173,160,0,0,13,15,163,10,23
2012,feb,246,230,2,9,14,16,234,12,18
2012,mar,427,410,0,0,17,27,423,4,8
2012,abr,372,353,0,0,19,29,363,9,15
2012,may,457,445,0,0,12,15,453,4,43
2012,jun,361,350,1,1,10,16,357,4,34
2012,jul,400,390,0,0,10,10,397,3,21
2012,ago,438,421,0,0,17,25,429,9,12
2012,sep,337,308,1,1,28,46,336,1,14
2012,oct,391,363,0,0,28,51,384,7,16
2012,nov,348,329,1,1,18,22,344,4,14
2012,dic,328,306,0,0,22,23,325,3,19
2013,Total,"3,379",3097,6,5,276,429,3334,45,181
2013,ene,185,174,0,0,11,14,184,1,16
2013,feb,218,193,0,0,25,45,215,3,21
2013,mar,269,240,1,1,28,37,263,6,10
2013,abr,360,330,0,0,30,42,355,5,19
2013,may,313,295,0,0,18,25,307,6,15
2013,jun,306,289,0,0,17,41,306,0,13
2013,jul,347,331,0,0,16,23,344,3,8
2013,ago,366,324,1,1,41,84,362,4,15
2013,sep,261,234,1,0,26,39,257,4,19
2013,oct,287,267,0,0,20,20,281,6,14
2013,nov,254,236,0,0,18,24,253,1,10
2013,dic,213,184,3,3,26,35,207,6,21
2014,Total,"2,236",1949,9,10,278,404,2209,27,188
2014,ene,152,133,0,0,19,34,148,4,17
2014,feb,211,178,1,2,32,42,205,6,23
2014,mar,244,217,3,4,24,42,241,3,14
2014,abr,223,192,1,0,30,54,222,1,7
2014,may,174,157,0,0,17,29,173,1,9
2014,jun,218,201,0,0,17,22,218,0,24
2014,jul,226,200,1,1,25,36,223,3,21
2014,ago,218,189,0,0,29,35,218,0,11
